num_coef,nmse_in_out_SBRT2_direto,P0,P1,P2,nmse_data_LDMOS_formatted_4500p,diferenca_nmse_data_LDMOS_formatted_4500p_menos_in_out_SBRT2_direto
3,-21.65802981056161,1,1,1,-28.7124203927576,-7.054390582195989
4,-21.858871189638474,1,1,2,-29.908354795969597,-8.049483606331123
5,-22.044751145965257,1,1,3,-30.18971140608055,-8.144960260115294
6,-21.987854540306586,1,1,4,-30.149389506742068,-8.161534966435482
7,-22.019142965669623,1,1,5,-30.135647860873483,-8.11650489520386
4,-21.880076732359864,1,2,1,-31.36968857116233,-9.489611838802468
5,-24.38463707857824,1,2,2,-32.87618748194892,-8.491550403370677
6,-24.568833013645577,1,2,3,-33.46825861816329,-8.899425604517713
7,-24.599908300921648,1,2,4,-33.48319484249524,-8.88328654157359
8,-24.600364030708008,1,2,5,-33.457054440933575,-8.856690410225568
5,-21.79506192166295,1,3,1,-31.882514859325664,-10.087452937662714
6,-24.50132675348925,1,3,2,-33.62786108042191,-9.12653432693266
7,-24.653703532300437,1,3,3,-33.775538900540326,-9.12183536823989
8,-24.674530702108505,1,3,4,-33.79336777660302,-9.118837074494515
9,-24.68350642682863,1,3,5,-33.784571755500366,-9.101065328671737
6,-21.86392598424011,1,4,1,-32.09004373004512,-10.226117745805006
7,-24.61962135940002,1,4,2,-33.841268594104974,-9.221647234704953
8,-24.76940256163325,1,4,3,-34.01178007672252,-9.242377515089274
9,-24.75910911907044,1,4,4,-34.29457415799852,-9.535465038928077
10,-24.70659254790046,1,4,5,-34.29059121338629,-9.583998665485833
7,-21.40546666396064,1,5,1,-32.04202466296768,-10.636557999007035
8,-24.575034160968336,1,5,2,-33.9022180152738,-9.327183854305467
9,-24.74633456048492,1,5,3,-34.04604692459451,-9.299712364109592
10,-24.70070917393887,1,5,4,-34.34043988461268,-9.63973071067381
11,-24.67806546648045,1,5,5,-34.319175692480506,-9.641110226000055
4,-23.18788285344194,2,1,1,-33.027319435150694,-9.839436581708753
5,-25.389219027178036,2,1,2,-33.65788772901745,-8.268668701839417
6,-25.47740883357864,2,1,3,-34.35274072541042,-8.875331891831781
7,-25.49316035343909,2,1,4,-34.37581077628545,-8.882650422846357
8,-24.98096142436607,2,1,5,-34.35946313385068,-9.378501709484613
5,-25.529759424296547,2,2,1,-33.81058813969239,-8.280828715395845
6,-25.476298588986527,2,2,2,-33.83626496463777,-8.359966375651243
7,-25.4931912881611,2,2,3,-34.561188409030585,-9.067997120869485
8,-25.482644923792947,2,2,4,-34.59210672141233,-9.109461797619382
9,-25.44198695788941,2,2,5,-34.58501754232727,-9.143030584437863
6,-25.49416833896279,2,3,1,-34.74638247145545,-9.252214132492657
7,-25.53258960314812,2,3,2,-34.78066535373942,-9.248075750591301
8,-25.677681051703537,2,3,3,-34.97869022018136,-9.301009168477826
9,-25.67421345709443,2,3,4,-35.00519483873995,-9.330981381645522
10,-25.67489676931367,2,3,5,-34.98699864712257,-9.3121018778089
7,-25.5347226984036,2,4,1,-35.024850336787125,-9.490127638383527
8,-25.567331696996,2,4,2,-35.06661244826963,-9.49928075127363
9,-25.71770163845885,2,4,3,-35.30188508586857,-9.584183447409721
10,-25.716313086093606,2,4,4,-35.660748392078524,-9.944435305984918
11,-25.710695694420785,2,4,5,-35.6687929293651,-9.958097234944312
8,-25.57832346745771,2,5,1,-35.10314204099259,-9.524818573534876
9,-25.5265763011393,2,5,2,-35.150677484278816,-9.624101183139516
10,-25.682477362655128,2,5,3,-35.39221088822758,-9.709733525572453
11,-25.701036513592683,2,5,4,-35.7882186831671,-10.087182169574419
12,-25.66555892347146,2,5,5,-35.942141538895704,-10.276582615424246
5,-23.228625519600573,3,1,1,-33.747895311926726,-10.519269792326153
6,-25.511187798378103,3,1,2,-34.47684336690983,-8.96565556853173
7,-25.575195028994816,3,1,3,-34.8796209518516,-9.304425922856783
8,-25.592380748120007,3,1,4,-34.89699735560114,-9.30461660748113
9,-25.567135926402223,3,1,5,-34.8643875576677,-9.297251631265475
6,-25.534044472109063,3,2,1,-34.657437490459714,-9.12339301835065
7,-25.51350441582619,3,2,2,-34.68874553683751,-9.175241121011318
8,-25.63341334405822,3,2,3,-35.10966271586978,-9.476249371811562
9,-25.61839287711313,3,2,4,-35.13021971407915,-9.511826836966023
10,-25.60420269076833,3,2,5,-35.1219935489605,-9.517790858192175
7,-25.598643828718323,3,3,1,-35.20614866414482,-9.607504835426496
8,-25.598925493590464,3,3,2,-35.24274464422714,-9.643819150636673
9,-25.945983267892817,3,3,3,-35.24750840371104,-9.30152513581822
10,-25.958152904858693,3,3,4,-35.269092609974976,-9.310939705116283
11,-25.96394486169861,3,3,5,-35.26915103349573,-9.30520617179712
8,-25.569659393679878,3,4,1,-35.492196131112706,-9.922536737432829
9,-25.615411982035,3,4,2,-35.53982165019846,-9.924409668163463
10,-26.059449541681264,3,4,3,-35.54350555254337,-9.484056010862108
11,-26.06513616243671,3,4,4,-35.90737048771223,-9.84223432527552
12,-26.095304575387637,3,4,5,-35.9160049194774,-9.820700344089765
9,-25.52085282058315,3,5,1,-35.60740892347843,-10.08655610289528
10,-25.56129867983736,3,5,2,-35.66680989404141,-10.105511214204046
11,-26.09772352604641,3,5,3,-35.670837173201846,-9.573113647155438
12,-26.03661558801801,3,5,4,-36.091209572306006,-10.054593984287997
13,-25.86169621333081,3,5,5,-36.30050153641824,-10.43880532308743
6,-23.214701856757745,4,1,1,-34.49751659451566,-11.282814737757914
7,-25.64364315470224,4,1,2,-35.29876588427732,-9.655122729575083
8,-25.716703236452744,4,1,3,-35.853442199143416,-10.136738962690671
9,-25.711855734119467,4,1,4,-36.01819025683207,-10.306334522712604
10,-25.713365839271034,4,1,5,-36.02165469470854,-10.308288855437503
7,-25.65892519385705,4,2,1,-35.53623308327773,-9.877307889420678
8,-25.57034330093827,4,2,2,-35.58433971018906,-10.013996409250794
9,-25.70234517629236,4,2,3,-36.15097927595925,-10.44863409966689
10,-25.717944234302216,4,2,4,-36.314898624032246,-10.59695438973003
11,-25.69877756490624,4,2,5,-36.32710373633809,-10.628326171431848
8,-25.64914029281552,4,3,1,-36.25992700498031,-10.610786712164792
9,-25.644484351758717,4,3,2,-36.31302934747127,-10.668544995712555
10,-26.05253852533448,4,3,3,-36.31915315629503,-10.26661463096055
11,-26.03646564771652,4,3,4,-36.50040531929864,-10.463939671582125
12,-26.02197025414811,4,3,5,-36.50930624897828,-10.487335994830168
9,-25.64248752629578,4,4,1,-36.5388450201437,-10.896357493847916
10,-25.627077201104672,4,4,2,-36.59283375717648,-10.965756556071806
11,-26.071321773552583,4,4,3,-36.60996748157695,-10.538645708024369
12,-26.043623768959023,4,4,4,-36.60886422074838,-10.565240451789357
13,-26.032330995199302,4,4,5,-36.6187036203645,-10.586372625165197
10,-25.64575321012604,4,5,1,-36.6462317986542,-11.00047858852816
11,-25.541011938993904,4,5,2,-36.70812493962868,-11.167113000634778
12,-26.113074226443977,4,5,3,-36.72021824956583,-10.607144023121855
13,-26.10226187838879,4,5,4,-36.717998487796166,-10.615736609407374
14,-26.08830093758556,4,5,5,-36.952258511772,-10.86395757418644
7,-23.216699877688235,5,1,1,-34.9583961789903,-11.741696301302063
8,-25.640461726827127,5,1,2,-35.88625758548294,-10.24579585865581
9,-25.599742239040296,5,1,3,-36.46059659534549,-10.860854356305197
10,-25.644646905192985,5,1,4,-36.73414439729673,-11.089497492103746
11,-25.5561675939042,5,1,5,-36.80004889787146,-11.243881303967264
8,-25.37979752358241,5,2,1,-36.151335724379976,-10.771538200797565
9,-25.484796345704428,5,2,2,-36.18282871968234,-10.698032373977913
10,-25.46038535691341,5,2,3,-36.79466500771624,-11.33427965080283
11,-25.726490211004105,5,2,4,-37.0696142921661,-11.343124081161996
12,-25.707047798326364,5,2,5,-37.14182670218983,-11.434778903863467
9,-25.60084054709801,5,3,1,-36.94527573600728,-11.344435188909273
10,-25.48700670351713,5,3,2,-37.00283249123959,-11.515825787722456
11,-26.05288139368443,5,3,3,-37.0196870134094,-10.966805619724973
12,-26.039757893191616,5,3,4,-37.32407864108851,-11.284320747896896
13,-26.001022556251,5,3,5,-37.3934436842559,-11.392421128004898
10,-25.35528131917482,5,4,1,-37.34332560602957,-11.988044286854752
11,-25.53337603931949,5,4,2,-37.40611144036095,-11.872735401041464
12,-26.073635191598783,5,4,3,-37.43861596547843,-11.364980773879644
13,-26.046483011964234,5,4,4,-37.43677400880576,-11.390290996841529
14,-26.030718818428177,5,4,5,-37.5088866634801,-11.478167845051921
11,-25.55566945370774,5,5,1,-37.44576891353773,-11.890099459829987
12,-25.64927137389168,5,5,2,-37.52661910078043,-11.87734772688875
13,-26.110407246189236,5,5,3,-37.50751388824042,-11.397106642051181
14,-26.082647662687016,5,5,4,-37.51116079609776,-11.428513133410746
15,-26.096701407313112,5,5,5,-37.511924183259225,-11.415222775946113
