num_coef,nmse,P0,P1,P2
3,-21.658029810561615,1,1,1
4,-21.858871189638474,1,1,2
5,-22.044751145965257,1,1,3
6,-21.987854540306586,1,1,4
7,-22.019142965669623,1,1,5
4,-21.880076732359864,1,2,1
5,-24.384637078578237,1,2,2
6,-24.568833013645577,1,2,3
7,-24.599908300921648,1,2,4
8,-24.600364030708008,1,2,5
5,-21.79506192166295,1,3,1
6,-24.50132675348925,1,3,2
7,-24.653703532300433,1,3,3
8,-24.674530702108505,1,3,4
9,-24.68350642682863,1,3,5
6,-21.86392598424011,1,4,1
7,-24.61962135940002,1,4,2
8,-24.76940256163325,1,4,3
9,-24.759109119070438,1,4,4
10,-24.70659254790046,1,4,5
7,-21.40546666396064,1,5,1
8,-24.575034160968336,1,5,2
9,-24.74633456048492,1,5,3
10,-24.70070917393887,1,5,4
11,-24.678065466480454,1,5,5
4,-23.18788285344194,2,1,1
5,-25.389219027178033,2,1,2
6,-25.47740883357864,2,1,3
7,-25.493160353439094,2,1,4
8,-24.98096142436607,2,1,5
5,-25.529759424296547,2,2,1
6,-25.476298588986527,2,2,2
7,-25.4931912881611,2,2,3
8,-25.482644923792947,2,2,4
9,-25.441986957889412,2,2,5
6,-25.49416833896279,2,3,1
7,-25.53258960314812,2,3,2
8,-25.677681051703537,2,3,3
9,-25.67421345709443,2,3,4
10,-25.67489676931367,2,3,5
7,-25.5347226984036,2,4,1
8,-25.567331696995996,2,4,2
9,-25.717701638458852,2,4,3
10,-25.716313086093606,2,4,4
11,-25.710695694420785,2,4,5
8,-25.57832346745771,2,5,1
9,-25.5265763011393,2,5,2
10,-25.682477362655128,2,5,3
11,-25.701036513592683,2,5,4
12,-25.66555892347146,2,5,5
5,-23.228625519600573,3,1,1
6,-25.511187798378106,3,1,2
7,-25.575195028994816,3,1,3
8,-25.592380748120007,3,1,4
9,-25.567135926402223,3,1,5
6,-25.534044472109066,3,2,1
7,-25.51350441582619,3,2,2
8,-25.63341334405822,3,2,3
9,-25.618392877113134,3,2,4
10,-25.604202690768332,3,2,5
7,-25.598643828718323,3,3,1
8,-25.598925493590464,3,3,2
9,-25.945983267892817,3,3,3
10,-25.958152904858693,3,3,4
11,-25.963944861698614,3,3,5
8,-25.569659393679874,3,4,1
9,-25.615411982035,3,4,2
10,-26.059449541681264,3,4,3
11,-26.06513616243671,3,4,4
12,-26.095304575387633,3,4,5
9,-25.52085282058315,3,5,1
10,-25.561298679837357,3,5,2
11,-26.09772352604641,3,5,3
12,-26.03661558801801,3,5,4
13,-25.861696213330806,3,5,5
6,-23.214701856757742,4,1,1
7,-25.643643154702236,4,1,2
8,-25.716703236452744,4,1,3
9,-25.711855734119467,4,1,4
10,-25.713365839271034,4,1,5
7,-25.658925193857055,4,2,1
8,-25.57034330093827,4,2,2
9,-25.70234517629236,4,2,3
10,-25.717944234302216,4,2,4
11,-25.698777564906237,4,2,5
8,-25.649140292815517,4,3,1
9,-25.644484351758713,4,3,2
10,-26.052538525334477,4,3,3
11,-26.03646564771652,4,3,4
12,-26.02197025414811,4,3,5
9,-25.64248752629578,4,4,1
10,-25.627077201104672,4,4,2
11,-26.071321773552583,4,4,3
12,-26.043623768959026,4,4,4
13,-26.032330995199302,4,4,5
10,-25.645753210126042,4,5,1
11,-25.541011938993904,4,5,2
12,-26.113074226443977,4,5,3
13,-26.10226187838879,4,5,4
14,-26.088300937585558,4,5,5
7,-23.216699877688235,5,1,1
8,-25.640461726827127,5,1,2
9,-25.599742239040296,5,1,3
10,-25.644646905192985,5,1,4
11,-25.5561675939042,5,1,5
8,-25.37979752358241,5,2,1
9,-25.484796345704428,5,2,2
10,-25.46038535691341,5,2,3
11,-25.726490211004105,5,2,4
12,-25.707047798326364,5,2,5
9,-25.60084054709801,5,3,1
10,-25.487006703517135,5,3,2
11,-26.05288139368443,5,3,3
12,-26.039757893191616,5,3,4
13,-26.001022556251,5,3,5
10,-25.35528131917482,5,4,1
11,-25.533376039319492,5,4,2
12,-26.073635191598783,5,4,3
13,-26.046483011964234,5,4,4
14,-26.030718818428177,5,4,5
11,-25.55566945370774,5,5,1
12,-25.649271373891676,5,5,2
13,-26.110407246189233,5,5,3
14,-26.082647662687016,5,5,4
15,-26.096701407313112,5,5,5
